label,text
spam,"Congratulations you have won a free lottery ticket claim now"
spam,"Urgent your account has been selected for a reward click the link"
spam,"Win money now limited time offer act today"
spam,"This is a scam do not respond to this message"
spam,"You have been chosen for a special promotion buy now"
spam,"Claim your prize by verifying your identity immediately"
spam,"Free money waiting for you click to collect"
spam,"Your package is waiting for delivery confirm address now"
spam,"Act fast your account will be closed unless you click"
spam,"Limited deal save big on your next purchase now"
spam,"Congratulations winner get your reward now"
spam,"Please verify your bank details to receive funds"
spam,"Earn cash from home no experience needed apply today"
spam,"You have won tickets to the event click to claim"
spam,"This offer is only for today respond to win"
spam,"Your subscription has expired renew now to avoid charges"
spam,"Winner selection complete claim your prize today"
spam,"Security alert unusual login detected click to secure"
spam,"Last chance to claim discount code click now"
spam,"Exclusive offer for valued customer claim now"
spam,"Your invoice payment required click for details"
spam,"You have received a gift card claim it today"
spam,"Confirm your email address to avoid rejection"
spam,"Reward available click the secure link"
spam,"Your account update is required click the button"
spam,"Urgent response needed to keep your account active"
spam,"Get cheap meds now without prescription click"
spam,"Increase your income fast start today click"
spam,"Final notice your account will be suspended click"
spam,"Congratulations you are selected for a free trial now"
ham,"Hi are we still meeting for lunch today"
ham,"Please find the report attached for tomorrow"
ham,"Can you call me when you have a moment"
ham,"I will review the document and get back to you"
ham,"Thank you for your email I appreciate your help"
ham,"Meeting moved to next week please confirm"
ham,"Do you want to join the team call at noon"
ham,"I sent the files you requested check your inbox"
ham,"Let's discuss the project requirements tomorrow"
ham,"The schedule has been updated for this week"
ham,"Can you share the latest status update"
ham,"I hope you are doing well talk soon"
ham,"Please approve the attached form when ready"
ham,"We will follow up with more details shortly"
ham,"Your order has been received and will be processed"
ham,"Thanks for sending the link I will read it"
ham,"Could you provide the invoice number for our records"
ham,"I am out of office and will respond later"
ham,"Let's keep the conversation within the thread"
ham,"The bank transfer was successful and confirmed"
ham,"Your appointment is scheduled for Friday"
ham,"I will send the summary after the meeting"
ham,"Reminder please complete the timesheet by Friday"
ham,"The documents are ready for review"
ham,"We appreciate your feedback"
ham,"Can we reschedule the call to tomorrow morning"
ham,"The password reset link will expire soon"
ham,"Please let me know if you have questions"
ham,"Thanks we have received your message"
ham,"If you need anything else just reply"
ham,""

